study_name, sample_id,NCBI_accession
AsnicarF_2017,MV_FEI5_t1Q14,SRR4052040
AsnicarF_2017,MV_FEI5_t2Q14,SRR4052041
AsnicarF_2017,MV_FEM3_t1Q14,SRR4052023
AsnicarF_2017,MV_FEI4_t2Q15,SRR4052039
AsnicarF_2017,MV_FEI4_t1Q14,SRR4052038
AsnicarF_2017,MV_FEI3_t1Q14,SRR4052033
AsnicarF_2017,MV_FEI2_t1Q14,SRR4052022
AsnicarF_2017,MV_FEI1_t1Q14,SRR4052021
AsnicarF_2017,MV_FEM4_t1Q14,SRR4052024
AsnicarF_2017,MV_FEM4_t2Q15,SRR4052025
AsnicarF_2017,MV_FEM5_t1Q14,SRR4052026
AsnicarF_2017,MV_FEM5_t2Q14,SRR4052027
AsnicarF_2017,MV_FEM5_t3Q15,SRR4052028
AsnicarF_2017,MV_FEM1_t1Q14,SRR4052043
AsnicarF_2017,MV_FEM2_t1Q14,SRR4052044
QinJ_2012,DLF013,SRR341656
QinJ_2012,DLM013,SRR341661
QinJ_2012,DLM012,SRR341660
QinJ_2012,DLM011,SRR341598
QinJ_2012,DLM010,SRR341659
QinJ_2012,DLM009,SRR341597
QinJ_2012,DLM008,SRR341596
QinJ_2012,DLM007,SRR341595
QinJ_2012,DLM006,SRR341594
QinJ_2012,DLF014,SRR341657
QinJ_2012,DLM005,SRR341593
QinJ_2012,DLM003,SRR341591
QinJ_2012,DLM002,SRR341590
QinJ_2012,DLF006,SRR341586
QinJ_2012,DLF007,SRR341587
QinJ_2012,DLF008,SRR341588
QinJ_2012,DLF009,SRR341654
QinJ_2012,DLM001,SRR341658
QinJ_2012,DLF012,SRR341655
QinJ_2012,DLM004,SRR341592
QinJ_2012,DLF010,SRR341589
QinJ_2012,DOF003,SRR341675
QinJ_2012,DOM025,SRR341615
QinJ_2012,NOM004,SRR341644
QinJ_2012,NOM005,SRR341714
QinJ_2012,NOM007,SRR341645
QinJ_2012,NOM008,SRR341646
QinJ_2012,NOM009,SRR341715
QinJ_2012,NOM010,SRR341716
QinJ_2012,NOM012,SRR341647
QinJ_2012,NOM013,SRR341648
QinJ_2012,NOM014,SRR341717
QinJ_2012,NOM015,SRR341718
QinJ_2012,NOM016,SRR341719
QinJ_2012,NOM017,SRR341720
QinJ_2012,NOM018,SRR341649
QinJ_2012,NOM019,SRR341721
QinJ_2012,NOM020,SRR341722
QinJ_2012,NOM022,SRR341650
QinJ_2012,NOM023,SRR341651
QinJ_2012,NOM025,SRR341723
QinJ_2012,NOM026,SRR341652
QinJ_2012,NOM027,SRR341724
QinJ_2012,NOM028,SRR341725
QinJ_2012,NOM029,SRR341653
QinJ_2012,DOM023,SRR341613
QinJ_2012,DOM024,SRR341614
QinJ_2012,T2D-034,SRR413740
QinJ_2012,DLM014,SRR341662
QinJ_2012,DLM015,SRR341663
QinJ_2012,DLM023,SRR341671
QinJ_2012,DLM017,SRR341665
QinJ_2012,T2D-070,SRR413762
QinJ_2012,T2D-068,SRR413760
QinJ_2012,T2D-002,SRR413737
QinJ_2012,T2D-066,SRR413759
QinJ_2012,T2D-006,SRR413761
QinJ_2012,T2D-065,SRR413758
QinJ_2012,T2D-063,SRR413757
QinJ_2012,T2D-062,SRR413756
QinJ_2012,T2D-061,SRR413755
QinJ_2012,T2D-059,SRR413754
QinJ_2012,T2D-073,SRR413763
QinJ_2012,T2D-056,SRR413752
QinJ_2012,T2D-053,SRR413750
QinJ_2012,T2D-008,SRR413770
QinJ_2012,T2D-052,SRR413749
QinJ_2012,T2D-051,SRR413748
QinJ_2012,T2D-049,SRR413747
QinJ_2012,T2D-048,SRR413746
QinJ_2012,T2D-047,SRR413745
QinJ_2012,T2D-046,SRR1778450
QinJ_2012,T2D-045,SRR413744
QinJ_2012,T2D-042,SRR413743
QinJ_2012,T2D-054,SRR413751
QinJ_2012,DLM016,SRR341664
QinJ_2012,T2D-076,SRR413764
QinJ_2012,T2D-078,SRR413766
QinJ_2012,DLM018,SRR341666
QinJ_2012,DLM019,SRR341667
QinJ_2012,DLM020,SRR341668
QinJ_2012,DLM021,SRR341669
QinJ_2012,DLM022,SRR341670
QinJ_2012,NOM002,SRR341713
QinJ_2012,DLM024,SRR341672
QinJ_2012,DLM027,SRR341673
QinJ_2012,DLM028,SRR341674
QinJ_2012,DOF002,SRR341599
QinJ_2012,T2D-077,SRR413765
QinJ_2012,DOM026,SRR341689
QinJ_2012,T2D-107,SRR413677
QinJ_2012,T2D-106,SRR413676
QinJ_2012,T2D-105,SRR413675
QinJ_2012,T2D-103,SRR413674
QinJ_2012,T2D-102,SRR413673
QinJ_2012,T2D-097,SRR413772
QinJ_2012,T2D-091,SRR413771
QinJ_2012,T2D-087,SRR413769
QinJ_2012,T2D-083,SRR413768
QinJ_2012,T2D-081,SRR413767
QinJ_2012,DOF004,SRR341676
QinJ_2012,NOM001,SRR341712
QinJ_2012,NOF008,SRR341709
QinJ_2012,DOM022,SRR341688
QinJ_2012,NLF007,SRR341620
QinJ_2012,NLF008,SRR341690
QinJ_2012,NLF009,SRR341621
QinJ_2012,NLF010,SRR341622
QinJ_2012,NLF011,SRR341623
QinJ_2012,NLF012,SRR341691
QinJ_2012,NLF013,SRR341692
QinJ_2012,NLF014,SRR341624
QinJ_2012,NLF015,SRR341693
QinJ_2012,NLF006,SRR341619
QinJ_2012,NLM001,SRR341625
QinJ_2012,NLM003,SRR341626
QinJ_2012,NLM004,SRR341695
QinJ_2012,NLM005,SRR341627
QinJ_2012,NLM006,SRR341696
QinJ_2012,NLM007,SRR341697
QinJ_2012,NLM008,SRR341628
QinJ_2012,NLM009,SRR341629
QinJ_2012,NLM010,SRR341698
QinJ_2012,NOF014,SRR341643
QinJ_2012,NLM002,SRR341694
QinJ_2012,NLM016,SRR341631
QinJ_2012,NLF005,SRR341618
QinJ_2012,NLF001,SRR341616
QinJ_2012,DLF001,SRR341581
QinJ_2012,DLF002,SRR341582
QinJ_2012,DLF003,SRR341583
QinJ_2012,DLF004,SRR341584
QinJ_2012,DLF005,SRR341585
QinJ_2012,DOM016,SRR341685
QinJ_2012,DOM015,SRR341684
QinJ_2012,DOM014,SRR341609
QinJ_2012,DOM013,SRR341683
QinJ_2012,NLF002,SRR341617
QinJ_2012,DOM012,SRR341608
QinJ_2012,DOM008,SRR341681
QinJ_2012,DOM005,SRR341607
QinJ_2012,DOM003,SRR341680
QinJ_2012,DOM001,SRR341679
QinJ_2012,DOF014,SRR341606
QinJ_2012,DOF013,SRR341605
QinJ_2012,DOF012,SRR341604
QinJ_2012,DOF011,SRR341603
QinJ_2012,DOF010,SRR341602
QinJ_2012,DOM010,SRR341682
QinJ_2012,NLM017,SRR341632
QinJ_2012,NLM015,SRR341630
QinJ_2012,NLM022,SRR341700
QinJ_2012,NLM021,SRR341699
QinJ_2012,T2D-025,SRR413734
QinJ_2012,T2D-026,SRR413735
QinJ_2012,T2D-029,SRR413736
QinJ_2012,T2D-031,SRR413738
QinJ_2012,T2D-033,SRR413739
QinJ_2012,NOF001,SRR341635
QinJ_2012,NOF002,SRR341636
QinJ_2012,DOM020,SRR341611
QinJ_2012,T2D-019,SRR413728
QinJ_2012,NOF004,SRR341637
QinJ_2012,NOF006,SRR341638
QinJ_2012,NOF007,SRR341639
QinJ_2012,DOM021,SRR341612
QinJ_2012,T2D-041,SRR413742
QinJ_2012,NOF009,SRR341640
QinJ_2012,NOF010,SRR341710
QinJ_2012,NOF011,SRR341641
QinJ_2012,NOF012,SRR341711
QinJ_2012,NOF013,SRR341642
QinJ_2012,NOF005,SRR341708
QinJ_2012,T2D-017,SRR413721
QinJ_2012,T2D-022,SRR413733
QinJ_2012,T2D-014,SRR413708
QinJ_2012,NLM023,SRR341633
QinJ_2012,NLM024,SRR341701
QinJ_2012,NLM025,SRR341634
QinJ_2012,NLM026,SRR341702
QinJ_2012,NLM027,SRR341703
QinJ_2012,NLM028,SRR341704
QinJ_2012,NLM029,SRR341705
QinJ_2012,T2D-015,SRR413714
QinJ_2012,NLM032,SRR341707
QinJ_2012,DOF009,SRR341601
QinJ_2012,NLM031,SRR341706
QinJ_2012,DOF007,SRR341600
QinJ_2012,DOM019,SRR341687
QinJ_2012,DOM018,SRR341686
QinJ_2012,DOM017,SRR341610
QinJ_2012,T2D-013,SRR413700
QinJ_2012,T2D-012,SRR413694
QinJ_2012,DOF008,SRR341678
QinJ_2012,T2D-035,SRR413741
QinJ_2012,T2D-011,SRR413686
QinJ_2012,T2D-010,SRR413680
QinJ_2012,T2D-009,SRR413773
QinJ_2012,DOF006,SRR341677
ShaoY_2019,e88c33c4-7ae6-11e9-a106-68b59976a384,ERR3405419
ShaoY_2019,e8c860b0-7ae6-11e9-a106-68b59976a384,ERR3406229
ShaoY_2019,e8dcbe2a-7ae6-11e9-a106-68b59976a384,ERR3405732
ShaoY_2019,e875ef9c-7ae6-11e9-a106-68b59976a384,ERR3405418
ShaoY_2019,e8a0557a-7ae6-11e9-a106-68b59976a384,ERR3405420
ShaoY_2019,e8b45a70-7ae6-11e9-a106-68b59976a384,ERR3405421
ShaoY_2019,dfb6f374-7ae6-11e9-a106-68b59976a384,ERR3406218
ShaoY_2019,e861e830-7ae6-11e9-a106-68b59976a384,ERR3405417
